IDSubtitle	MovieName	MovieYear	LanguageName	ISO639	SubAddDate	ImdbID	SubFormat	SubSumCD	MovieReleaseName	MovieFPS	SeriesSeason	SeriesEpisode	SeriesIMDBParent	MovieKind	URL
9482454	"Young Lady and Gentleman" Episode #1.43	2022	Vietnamese	vi	2023-03-28 17:19:31	18352248	srt	1	 Young.Lady.and.Gentleman.S01E43.1080p.NF.WEB-DL.AAC2.0.x264-HBO	29.970	1	43	15514606	tv	http://www.opensubtitles.org/subtitles/9482454/young-lady-and-gentleman-episode-1-43-vi
9482455	"I Am Georgina" Mudanza, proyectos y buenas noticias		Italian	it	2023-03-28 17:19:38	17520978	srt	1	 Soy.Georgina.S01E06.WEBRip.Netflix	0.000	1	6	15494864	tv	http://www.opensubtitles.org/subtitles/9482455/i-am-georgina-mudanza-proyectos-y-buenas-noticias-it
9482457	"I Am Georgina" La vida sigue	2023	Italian	it	2023-03-28 17:19:49	27236487	srt	1	 Soy.Georgina.S02E02.WEBRip.Netflix	0.000	2	2	15494864	tv	http://www.opensubtitles.org/subtitles/9482457/i-am-georgina-la-vida-sigue-it
9482456	"Young Lady and Gentleman" Episode #1.44	2022	Vietnamese	vi	2023-03-28 17:19:49	18352252	srt	1	 Young.Lady.and.Gentleman.S01E44.1080p.NF.WEB-DL.AAC2.0.x264-HBO	29.970	1	44	15514606	tv	http://www.opensubtitles.org/subtitles/9482456/young-lady-and-gentleman-episode-1-44-vi
9482458	"I Am Georgina" Nada es perfecto	2022	Italian	it	2023-03-28 17:19:55	27236484	srt	1	 Soy.Georgina.S02E01.WEBRip.Netflix	0.000	2	1	15494864	tv	http://www.opensubtitles.org/subtitles/9482458/i-am-georgina-nada-es-perfecto-it
9482459	"I Am Georgina" Una para todas y toda para una	2023	Italian	it	2023-03-28 17:20:06	27236491	srt	1	 Soy.Georgina.S02E03.WEBRip.Netflix	0.000	2	3	15494864	tv	http://www.opensubtitles.org/subtitles/9482459/i-am-georgina-una-para-todas-y-toda-para-una-it
9482460	"Young Lady and Gentleman" Episode #1.45	2022	Vietnamese	vi	2023-03-28 17:20:06	18554852	srt	1	 Young.Lady.and.Gentleman.S01E45.1080p.NF.WEB-DL.AAC2.0.x264-HBO	29.970	1	45	15514606	tv	http://www.opensubtitles.org/subtitles/9482460/young-lady-and-gentleman-episode-1-45-vi
9482461	"I Am Georgina" La decisión de Gio		Italian	it	2023-03-28 17:20:08	27236493	srt	1	 Soy.Georgina.S02E04.WEBRip.Netflix	0.000	2	4	15494864	tv	http://www.opensubtitles.org/subtitles/9482461/i-am-georgina-la-decision-de-gio-it
9482462	"I Am Georgina" Sueños cumplidos		Italian	it	2023-03-28 17:20:11	27236496	srt	1	 Soy.Georgina.S02E05.WEBRip.Netflix	0.000	2	5	15494864	tv	http://www.opensubtitles.org/subtitles/9482462/i-am-georgina-suenos-cumplidos-it
9482466	Reborn to Master the Blade: From Hero-King to Extraordinary Squire	2023	Arabic	ar	2023-03-28 17:20:23	25971150	ssa	1	 [Crunchyroll] Eiyuuou, Bu wo Kiwameru Tame Tenseisu - 01	0.000	0	0	0	tv	http://www.opensubtitles.org/subtitles/9482466/reborn-to-master-the-blade-from-hero-king-to-extraordinary-squire-ar
9482467	Reborn to Master the Blade: From Hero-King to Extraordinary Squire	2023	Arabic	ar	2023-03-28 17:20:23	25971150	ssa	1	 [Crunchyroll] Eiyuuou, Bu wo Kiwameru Tame Tenseisu - 02	0.000	0	0	0	tv	http://www.opensubtitles.org/subtitles/9482467/reborn-to-master-the-blade-from-hero-king-to-extraordinary-squire-ar
